City,State,Shape,Duration.in.seconds,Description,Date,Longitude,Latitute,Duration
Panama City,FL,Formation,3600,During A Road Trip To Panama City A Friend And I Witnessed A Pair Of Luminous Light Formations Appear And Dissappear Over The Gulf.,1/28/1999,30.1586111,-85.6602778,3600
Stafford,TX,Unknown,10,A Man Emerges From A Beam Of Light That Shines On A Grassy Field At Night And He Runs Towards The Texas Instruments Parking Lot.,4/18/2012,29.6158333,-95.5575,10
Seymour,TN,Cigar,60,Stationary Elongated Ufo 200Ft Above Vacant Field With City Lights On Bottom,10/31/2008,35.8905556,-83.7247222,60
Weatherford,TX,Unknown,30,Black Or Dark Grey.  Too Big Too Low Too Slow Too Quiet For A Normal Aircraft.,9/2/2005,32.7591667,-97.7969444,30
Peoria,IL,Light,8,Light Over Peoria Il That Moves Slowly Stops In Mid-Air Hovers Changes Colors Shoots In Opposite Direction And Disappears.,10/11/2005,40.6936111,-89.5888889,8
Carthage,TN,Other,60,1 Object With Green And Red Lights,3/21/2003,36.2522222,-85.9516667,60
Burnt Hills,NY,Rectangle,120,Giant Rectangular Craft (Resembling An Upside-Down Aircraft Carrier) Over Highway Near Saratoga Ny.,10/23/2013,42.9097222,-73.8955556,120
Pinebergen,AR,Light,5,Round Bright Low Flying Object Silently Speeds West Of Arkansas Town At 11:30Pm 10/10/94.,2/18/2001,34.1027778,-91.9922222,5
Milwaukee,WI,,120,Man  On Hwy 43 Sw Of Milwaukee Sees Large Bright Blue Light Streak By His Car Descend Turn Cross Road Ahead Strobe. Bizarre,11/2/1999,43.0388889,-87.9063889,120
Oakland,CA,,60,Woman Repts.  Bright Light In Nw Sky Suddenly Approaches Her Flies Slowly Overhead.  Swept Wings 2 Blurry Lights Either Side.,11/2/1999,37.8044444,-122.2697222,60
Higginsville,MO,Triangle,3,Illuminated Triangular Craft Flying At High Speed From South To North,2/16/2000,39.0725,-93.7169444,3
Charleston,SC,Light,300,Flashing Object Above Charleston Sc,11/26/2003,32.7763889,-79.9311111,300
Monroe County,OH,Cylinder,60,Looked Like It Went Through The Hillside,7/8/2004,39.4402778,-84.3622222,60
Connersville,IN,Delta,14400,3 Differants Types  Cluster Delta  And One In A 3 Pointed Star Design . Followed It For Six Miles .,1/28/1999,39.6411111,-85.1411111,14400
